date,id,name,y_items,y_actual_cost,x_items,x_actual_cost
2021-07-01,09W,"NHS MEDWAY",0,0,0,0
2021-07-01,D4U1Y,"NHS FRIMLEY",51,77.84,0,0
2021-07-01,03Q,"NHS VALE OF YORK",280,713.57,0,0
2021-07-01,00N,"NHS SOUTH TYNESIDE",392,828.34,0,0
2021-07-01,00Q,"NHS BLACKBURN WITH DARWEN",413,862.17,0,0
2021-07-01,02G,"NHS WEST LANCASHIRE",418,861.7,0,0
2021-07-01,99C,"NHS NORTH TYNESIDE",508,1209.57,0,0
2021-07-01,01E,"NHS GREATER PRESTON",555,1272.69,0,0
2021-07-01,03F,"NHS HULL",627,2097.11,0,0
2021-07-01,00X,"NHS CHORLEY AND SOUTH RIBBLE",718,1566.88,0,0
2021-07-01,02Y,"NHS EAST RIDING OF YORKSHIRE",777,2032.26,0,0
2021-07-01,02Q,"NHS BASSETLAW",788,1489.96,0,0
2021-07-01,01A,"NHS EAST LANCASHIRE",859,1703.6,0,0
2021-07-01,03H,"NHS NORTH EAST LINCOLNSHIRE",906,1928.6,0,0
2021-07-01,06L,"NHS IPSWICH AND EAST SUFFOLK",940,1758.28,0,0
2021-07-01,07K,"NHS WEST SUFFOLK",963,1831.11,0,0
2021-07-01,02M,"NHS FYLDE AND WYRE",986,2002.24,0,0
2021-07-01,03K,"NHS NORTH LINCOLNSHIRE",1017,1915,0,0
2021-07-01,02P,"NHS BARNSLEY",1048,2352.39,0,0
2021-07-01,00R,"NHS BLACKPOOL",1050,2120.84,0,0
2021-07-01,99G,"NHS SOUTHEND",1108,2676.1,0,0
2021-07-01,03L,"NHS ROTHERHAM",1199,2599.6,0,0
2021-07-01,00L,"NHS NORTHUMBERLAND",1218,2909.24,0,0
2021-07-01,03R,"NHS WAKEFIELD",1323,3662.66,0,0
2021-07-01,42D,"NHS NORTH YORKSHIRE",1385,3213.01,0,0
2021-07-01,01D,"NHS HEYWOOD, MIDDLETON AND ROCHDALE",1415,3496.89,0,0
2021-07-01,01F,"NHS HALTON",1484,2775,0,0
2021-07-01,01J,"NHS KNOWSLEY",1489,3079.96,0,0
2021-07-01,00Y,"NHS OLDHAM",1610,3112.07,0,0
2021-07-01,10Q,"NHS OXFORDSHIRE",1660,3674.02,0,0
2021-07-01,15F,"NHS LEEDS",1661,4635.05,0,0
2021-07-01,01K,"NHS MORECAMBE BAY",1683,3524.14,0,0
2021-07-01,X2C4Y,"NHS KIRKLEES",1701,4702.48,0,0
