date,id,name,y_items,y_actual_cost,x_items,x_actual_cost
2021-07-01,09W,"NHS MEDWAY",0,0,0,0
2021-07-01,D4U1Y,"NHS FRIMLEY",3,78.36,0,0
2021-07-01,00Q,"NHS BLACKBURN WITH DARWEN",164,4910.75,0,0
2021-07-01,03H,"NHS NORTH EAST LINCOLNSHIRE",168,5015.15,0,0
2021-07-01,02G,"NHS WEST LANCASHIRE",255,8254,0,0
2021-07-01,02T,"NHS CALDERDALE",316,11936.33,0,0
2021-07-01,10R,"NHS PORTSMOUTH",323,14260.23,0,0
2021-07-01,01J,"NHS KNOWSLEY",336,10134.93,0,0
2021-07-01,05D,"NHS EAST STAFFORDSHIRE",338,10996,0,0
2021-07-01,01V,"NHS SOUTHPORT AND FORMBY",347,12093.34,0,0
2021-07-01,00R,"NHS BLACKPOOL",406,11415.21,0,0
2021-07-01,12F,"NHS WIRRAL",411,13791.3,0,0
2021-07-01,01Y,"NHS TAMESIDE AND GLOSSOP",436,15345.21,0,0
2021-07-01,02M,"NHS FYLDE AND WYRE",441,13464.52,0,0
2021-07-01,02Q,"NHS BASSETLAW",451,12825.32,0,0
2021-07-01,05G,"NHS NORTH STAFFORDSHIRE",453,14235.21,0,0
2021-07-01,01G,"NHS SALFORD",469,15228.12,0,0
2021-07-01,01X,"NHS ST HELENS",472,14941,0,0
2021-07-01,03K,"NHS NORTH LINCOLNSHIRE",489,14208.82,0,0
2021-07-01,04Y,"NHS CANNOCK CHASE",494,17212.8,0,0
2021-07-01,99G,"NHS SOUTHEND",501,18910.06,0,0
2021-07-01,00V,"NHS BURY",504,15985.73,0,0
2021-07-01,05W,"NHS STOKE ON TRENT",535,17082.78,0,0
2021-07-01,01T,"NHS SOUTH SEFTON",536,16482.26,0,0
2021-07-01,99C,"NHS NORTH TYNESIDE",555,22252.85,0,0
2021-07-01,07G,"NHS THURROCK",572,17030.71,0,0
2021-07-01,99F,"NHS CASTLE POINT AND ROCHFORD",573,19798.57,0,0
2021-07-01,02P,"NHS BARNSLEY",576,19367.78,0,0
2021-07-01,01D,"NHS HEYWOOD, MIDDLETON AND ROCHDALE",585,18858.89,0,0
2021-07-01,01F,"NHS HALTON",592,19041.73,0,0
2021-07-01,02A,"NHS TRAFFORD",606,21548.48,0,0
2021-07-01,05Q,"NHS SOUTH EAST STAFFORDSHIRE AND SEISDON PENINSULA",611,22227.34,0,0
2021-07-01,05V,"NHS STAFFORD AND SURROUNDS",611,21561.05,0,0
2021-07-01,01K,"NHS MORECAMBE BAY",621,21260.9,0,0
2021-07-01,02E,"NHS WARRINGTON",636,22253.83,0,0
2021-07-01,00N,"NHS SOUTH TYNESIDE",641,23663.84,0,0
2021-07-01,01H,"NHS NORTH CUMBRIA",667,23310.07,0,0
2021-07-01,00P,"NHS SUNDERLAND",668,24760.73,0,0
2021-07-01,03R,"NHS WAKEFIELD",701,25400.89,0,0
2021-07-01,09D,"NHS BRIGHTON AND HOVE",740,32425.06,0,0
2021-07-01,U2G6B,"NHS THAMES VALLEY ICB - U2G6B",747,26667.87,0,0
2021-07-01,99E,"NHS BASILDON AND BRENTWOOD",756,25910.72,0,0
2021-07-01,00X,"NHS CHORLEY AND SOUTH RIBBLE",770,25702.07,0,0
2021-07-01,03Q,"NHS VALE OF YORK",789,29304.86,0,0
2021-07-01,02H,"NHS WIGAN BOROUGH",808,27177.84,0,0
2021-07-01,06L,"NHS IPSWICH AND EAST SUFFOLK",840,26575.08,0,0
2021-07-01,00Y,"NHS OLDHAM",842,27922.38,0,0
2021-07-01,01E,"NHS GREATER PRESTON",850,29266.97,0,0
2021-07-01,04C,"NHS LEICESTER CITY",862,28118.44,0,0
2021-07-01,00T,"NHS BOLTON",903,30703.86,0,0
2021-07-01,01W,"NHS STOCKPORT",970,32989.28,0,0
2021-07-01,06Q,"NHS MID ESSEX",998,30167.32,0,0
2021-07-01,06N,"NHS HERTS VALLEYS",1023,39621.56,0,0
2021-07-01,01A,"NHS EAST LANCASHIRE",1071,32885.26,0,0
